,x
1956-01-01,53
1956-02-01,68
1956-03-01,68
1956-04-01,66
1956-05-01,72
1956-06-01,66
1956-07-01,70
1956-08-01,72
1956-09-01,66
1956-10-01,74
1956-11-01,71
1956-12-01,52
1957-01-01,51
1957-02-01,66
1957-03-01,70
1957-04-01,68
1957-05-01,78
1957-06-01,68
1957-07-01,77
1957-08-01,75
1957-09-01,75
1957-10-01,82
1957-11-01,79
1957-12-01,62
1958-01-01,56
1958-02-01,69
1958-03-01,74
1958-04-01,72
1958-05-01,82
1958-06-01,75
1958-07-01,86
1958-08-01,78
1958-09-01,85
1958-10-01,84
1958-11-01,78
1958-12-01,72
1959-01-01,53
1959-02-01,75
1959-03-01,80
1959-04-01,83
1959-05-01,85
1959-06-01,85
1959-07-01,88
1959-08-01,86
1959-09-01,93
1959-10-01,91
1959-11-01,85
1959-12-01,79
1960-01-01,57
1960-02-01,86
1960-03-01,99
1960-04-01,82
1960-05-01,95
1960-06-01,91
1960-07-01,91
1960-08-01,101
1960-09-01,98
1960-10-01,96
1960-11-01,102
1960-12-01,79
1961-01-01,64
1961-02-01,85
1961-03-01,92
1961-04-01,76
1961-05-01,93
1961-06-01,84
1961-07-01,86
1961-08-01,93
1961-09-01,86
1961-10-01,87
1961-11-01,84
1961-12-01,65
1962-01-01,55
1962-02-01,81
1962-03-01,93
1962-04-01,80
1962-05-01,97
1962-06-01,88
1962-07-01,95
1962-08-01,94
1962-09-01,86
1962-10-01,95
1962-11-01,95
1962-12-01,68
1963-01-01,60
1963-02-01,84
1963-03-01,87
1963-04-01,84
1963-05-01,93
1963-06-01,86
1963-07-01,103
1963-08-01,104
1963-09-01,101
1963-10-01,115
1963-11-01,110
1963-12-01,88
1964-01-01,80
1964-02-01,107
1964-03-01,106
1964-04-01,111
1964-05-01,111
1964-06-01,106
1964-07-01,118
1964-08-01,111
1964-09-01,120
1964-10-01,120
1964-11-01,116
1964-12-01,104
1965-01-01,78
1965-02-01,106
1965-03-01,125
1965-04-01,113
1965-05-01,117
1965-06-01,119
1965-07-01,120
1965-08-01,123
1965-09-01,123
1965-10-01,119
1965-11-01,123
1965-12-01,98
1966-01-01,73
1966-02-01,107
1966-03-01,122
1966-04-01,108
1966-05-01,122
1966-06-01,120
1966-07-01,117
1966-08-01,124
1966-09-01,121
1966-10-01,117
1966-11-01,123
1966-12-01,97
1967-01-01,99
1967-02-01,110
1967-03-01,117
1967-04-01,113
1967-05-01,129
1967-06-01,116
1967-07-01,115
1967-08-01,124
1967-09-01,120
1967-10-01,123
1967-11-01,128
1967-12-01,106
1968-01-01,91
1968-02-01,122
1968-03-01,128
1968-04-01,121
1968-05-01,137
1968-06-01,122
1968-07-01,138
1968-08-01,134
1968-09-01,132
1968-10-01,145
1968-11-01,142
1968-12-01,122
1969-01-01,106
1969-02-01,136
1969-03-01,141
1969-04-01,138
1969-05-01,144
1969-06-01,135
1969-07-01,156
1969-08-01,147
1969-09-01,151
1969-10-01,156
1969-11-01,141
1969-12-01,131
1970-01-01,105
1970-02-01,141
1970-03-01,140
1970-04-01,142
1970-05-01,144
1970-06-01,142
1970-07-01,142
1970-08-01,141
1970-09-01,151
1970-10-01,142
1970-11-01,146
1970-12-01,129
1971-01-01,100
1971-02-01,132
1971-03-01,153
1971-04-01,135
1971-05-01,147
1971-06-01,151
1971-07-01,151
1971-08-01,155
1971-09-01,147
1971-10-01,149
1971-11-01,157
1971-12-01,130
1972-01-01,97
1972-02-01,147
1972-03-01,155
1972-04-01,139
1972-05-01,167
1972-06-01,155
1972-07-01,147
1972-08-01,162
1972-09-01,167
1972-10-01,166
1972-11-01,168
1972-12-01,143
1973-01-01,132
1973-02-01,151
1973-03-01,169
1973-04-01,145
1973-05-01,154
1973-06-01,162
1973-07-01,178
1973-08-01,185
1973-09-01,171
1973-10-01,183
1973-11-01,178
1973-12-01,155
1974-01-01,140
1974-02-01,165
1974-03-01,173
1974-04-01,169
1974-05-01,189
1974-06-01,168
1974-07-01,189
1974-08-01,167
1974-09-01,162
1974-10-01,155
1974-11-01,143
1974-12-01,119
1975-01-01,78
1975-02-01,129
1975-03-01,133
1975-04-01,142
1975-05-01,152
1975-06-01,143
1975-07-01,153
1975-08-01,149
1975-09-01,157
1975-10-01,162
1975-11-01,148
1975-12-01,139
1976-01-01,95
1976-02-01,156
1976-03-01,173
1976-04-01,161
1976-05-01,167
1976-06-01,173
1976-07-01,176
1976-08-01,183
1976-09-01,181
1976-10-01,183
1976-11-01,193
1976-12-01,157
1977-01-01,108
1977-02-01,168
1977-03-01,181
1977-04-01,163
1977-05-01,175
1977-06-01,175
1977-07-01,171
1977-08-01,183
1977-09-01,168
1977-10-01,161
1977-11-01,173
1977-12-01,144
1978-01-01,101
1978-02-01,156
1978-03-01,164
1978-04-01,151
1978-05-01,171
1978-06-01,165
1978-07-01,149
1978-08-01,162
1978-09-01,159
1978-10-01,167
1978-11-01,172
1978-12-01,143
1979-01-01,117
1979-02-01,158
1979-03-01,183
1979-04-01,164
1979-05-01,190
1979-06-01,172
1979-07-01,188
1979-08-01,201
1979-09-01,184
1979-10-01,200
1979-11-01,202
1979-12-01,161
1980-01-01,137
1980-02-01,185
1980-03-01,191
1980-04-01,176
1980-05-01,189
1980-06-01,186
1980-07-01,205
1980-08-01,188
1980-09-01,196
1980-10-01,202
1980-11-01,187
1980-12-01,175
1981-01-01,133
1981-02-01,179
1981-03-01,207
1981-04-01,189
1981-05-01,195
1981-06-01,197
1981-07-01,194
1981-08-01,189
1981-09-01,198
1981-10-01,201
1981-11-01,193
1981-12-01,184
1982-01-01,127
1982-02-01,171
1982-03-01,202
1982-04-01,183
1982-05-01,189
1982-06-01,188
1982-07-01,178
1982-08-01,170
1982-09-01,164
1982-10-01,149
1982-11-01,156
1982-12-01,107
1983-01-01,47
1983-02-01,111
1983-03-01,145
1983-04-01,138
1983-05-01,138
1983-06-01,133
1983-07-01,137
1983-08-01,142
1983-09-01,141
1983-10-01,141
1983-11-01,147
1983-12-01,125
1984-01-01,91
1984-02-01,149
1984-03-01,160
1984-04-01,145
1984-05-01,168
1984-06-01,156
1984-07-01,163
1984-08-01,165
1984-09-01,154
1984-10-01,180
1984-11-01,169
1984-12-01,135
1985-01-01,118
1985-02-01,158
1985-03-01,171
1985-04-01,168
1985-05-01,177
1985-06-01,162
1985-07-01,189
1985-08-01,174
1985-09-01,170
1985-10-01,184
1985-11-01,173
1985-12-01,146
1986-01-01,117
1986-02-01,160
1986-03-01,166
1986-04-01,169
1986-05-01,172
1986-06-01,162
1986-07-01,173
1986-08-01,160
1986-09-01,172
1986-10-01,164
1986-11-01,145
1986-12-01,134
1987-01-01,99
1987-02-01,144
1987-03-01,172
1987-04-01,153
1987-05-01,161
1987-06-01,171
1987-07-01,164
1987-08-01,158
1987-09-01,173
1987-10-01,159
1987-11-01,152
1987-12-01,147
1988-01-01,89
1988-02-01,151
1988-03-01,187
1988-04-01,151
1988-05-01,192
1988-06-01,176
1988-07-01,175
1988-08-01,199
1988-09-01,181
1988-10-01,178
1988-11-01,197
1988-12-01,164
1989-01-01,155
1989-02-01,176
1989-03-01,180
1989-04-01,181
1989-05-01,208
1989-06-01,183
1989-07-01,185
1989-08-01,205
1989-09-01,180
1989-10-01,196
1989-11-01,183
1989-12-01,147
1990-01-01,128
1990-02-01,158
1990-03-01,186
1990-04-01,165
1990-05-01,191
1990-06-01,168
1990-07-01,171
1990-08-01,169
1990-09-01,157
1990-10-01,175
1990-11-01,156
1990-12-01,129
1991-01-01,89
1991-02-01,138
1991-03-01,146
1991-04-01,151
1991-05-01,156
1991-06-01,129
1991-07-01,146
1991-08-01,141
1991-09-01,137
1991-10-01,155
1991-11-01,147
1991-12-01,128
1992-01-01,92
1992-02-01,136
1992-03-01,159
1992-04-01,131
1992-05-01,134
1992-06-01,148
1992-07-01,146
1992-08-01,144
1992-09-01,161
1992-10-01,140
1992-11-01,141
1992-12-01,139
1993-01-01,94
1993-02-01,136
1993-03-01,164
1993-04-01,141
1993-05-01,159
1993-06-01,162
1993-07-01,154
1993-08-01,166
1993-09-01,156
1993-10-01,147
1993-11-01,161
1993-12-01,135
1994-01-01,98
1994-02-01,150
1994-03-01,173
1994-04-01,144
1994-05-01,167
1994-06-01,161
1994-07-01,156
1994-08-01,175
1994-09-01,163
1994-10-01,159
1994-11-01,167
1994-12-01,148
1995-01-01,119
1995-02-01,150
1995-03-01,161
1995-04-01,136
1995-05-01,166
1995-06-01,155
1995-07-01,140
1995-08-01,141
